city_id,date_updated,lat,lon,city_name,date,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641211200,90,7.39,100,1,0.17,10.41,9.86,25.33
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641297600,86,9.49,100,1,0.21,7.9,5.77,37.15
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641384000,69,7.95,74,0.93,0.68,6.75,2.89,0.6
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641470400,74,8.09,67,0.67,0.22,5.28,1.37,0.66
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641556800,84,6.87,93,1,1,7.96,5.38,7.17
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641643200,84,13,87,1,1,9.95,6.17,6.57
151486647,2022-01-02,48.6359541,-1.511459954959514,Mont Saint Michel,1641729600,76,12.4,98,0.91,1,8.77,4.38,3.76
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641211200,88,8.22,100,1,0.17,10.73,10.16,23.36
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641297600,85,13.56,100,1,0.25,8.38,5.42,34.11
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641384000,61,10.83,90,0.92,0.69,7.23,2.91,0.6
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641470400,71,10.49,72,0.96,0.14,6.09,1.77,1.24
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641556800,78,8.02,91,1,1,8.3,5.03,5.95
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641643200,80,15.67,83,1,1,10.2,9.36,4.68
121999,2022-01-02,48.649518,-2.0260409,St Malo,1641729600,74,14.43,97,0.75,1,9.21,4.73,3.06
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641211200,89,8.9,100,1,0.16,10.08,9.47,12.68
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641297600,86,9.5,100,1,0.12,7.26,3.88,37.8
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641384000,68,8.91,84,0.98,0.64,6.36,1.94,0.56
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641470400,71,8.66,85,0.7,0.3,5.37,1.47,0.78
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641556800,87,8.66,96,1,1,6.78,4.53,6.28
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641643200,85,15.13,99,1,1,8.92,4.72,12.44
3126290,2022-01-02,49.2764624,-0.7024738,Bayeux,1641729600,73,11.68,71,0.97,1,8.11,3.74,1.34
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641211200,92,9.68,100,1,0.17,9.87,7.25,12.19
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641297600,84,8.81,100,1,0.17,7.36,3.83,33.98
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641384000,62,10.29,8,0.9,0.63,6.72,2.22,0
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641470400,68,10.04,68,0.57,0.51,5.96,2,0.53
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641556800,82,9.12,100,1,1,7.06,3.68,8.58
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641643200,84,17.61,99,1,1,8.99,4.52,12.09
17564290,2022-01-02,49.4938975,0.1079732,Le Havre,1641729600,74,14.67,51,1,1,8.34,3.55,7.09
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641207600,81,7.97,100,1,0.22,9.85,7.1,9.52
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641297600,93,7.44,100,1,0.07,6.62,3.95,28.08
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641384000,70,6.31,7,0.94,0.63,5.74,1.71,0.15
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641470400,67,5.74,11,0.08,0.68,5.52,2.45,0
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641556800,88,5.96,91,0.78,1,7.45,4.4,5.34
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641643200,84,13.74,99,1,1,8.64,4.76,11.07
281721777,2022-01-02,49.4404591,1.0939658,Rouen,1641729600,74,10.86,35,1,1,7.58,3.3,3.62
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641207600,77,6.75,100,1,0.53,11.45,10.66,13.51
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641294000,86,9.86,100,1,0.05,9.97,8.42,18.42
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641380400,59,5.26,9,0.82,0.64,5.52,1.87,0.32
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641466800,48,3.9,63,0,0.8,6.16,4.01,0
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641553200,81,4.82,99,0.99,1,5.3,2.35,2.99
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641639600,80,10.22,94,1,1,7.34,3.65,10.13
281739181,2022-01-02,48.8588897,2.3200410217200766,Paris,1641726000,68,7.68,61,1,1,7.61,4.06,1.92
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641207600,85,8.7,100,1,0.35,9.45,6.47,6.03
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641294000,92,6.64,100,1,0.09,6.36,3.43,36.46
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641380400,71,6.48,9,0.35,0.59,4.76,0.4,0
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641466800,67,6.19,8,0.02,0.65,5.21,1.99,0
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641553200,87,6.95,99,0.94,1,6.09,2.7,4.12
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641639600,85,14.69,100,1,1,7.63,3.37,9.72
281746639,2022-01-02,49.8941708,2.2956951,Amiens,1641726000,71,10.63,68,1,1,7.02,2.7,3.11
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641207600,82,8.97,100,0.89,0.38,9.39,6.18,3.65
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641294000,83,6.64,100,1,0.15,7.09,4.96,17.36
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641380400,71,6.14,60,0.05,0.52,4.85,0.65,0
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641466800,65,6.24,6,0.16,0.56,4.8,1.54,0
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641553200,84,7.1,96,0.84,1,6.43,3.03,2.33
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641639600,85,13.67,100,1,1,7.45,3.17,7.79
282028769,2022-01-02,50.6365654,3.0635282,Lille,1641726000,64,9.53,96,1,1,6.71,2.47,0.58
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641207600,69,7.07,100,0.81,0.57,11.48,10.49,1.87
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641294000,77,8.52,100,1,0.38,12.75,12.09,13.24
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641380400,55,4.67,100,1,0.56,3.92,0.16,1.45
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641466800,71,2.05,64,0.37,0.74,4.18,4.18,0
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641553200,67,3.77,100,0.21,1,2.92,-0.55,0
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641639600,82,8.97,92,0.59,1,4.07,0.1,0
121990,2022-01-02,48.584614,7.7507127,Strasbourg,1641726000,84,10.49,100,1,1,4.1,0.47,5.79
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641207600,70,6.35,100,0.71,0.41,8.46,6.1,1.14
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641294000,72,7.32,100,1,0.47,10.35,9.32,14.38
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641380400,72,3.16,100,1,0.48,0.21,-3.39,2.25
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641466800,74,1.23,84,0.39,0.78,0.7,0.7,0
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641553200,66,1.59,100,0.22,1,0.45,-1.38,0
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641639600,73,5.21,90,0.6,1,1.57,-1.52,0
117144990,2022-01-02,48.249489800000006,7.34429620253195,Chateau du Haut Koenigsbourg,1641726000,91,7.05,97,1,1,0.42,-3.75,5.27
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641207600,69,5.87,100,0.59,0.41,11.64,10.66,0.78
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641294000,72,8.15,100,1,0.47,13.63,12.93,12.93
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641380400,76,3.25,100,1,0.48,3.79,0.87,1.75
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641466800,72,1.52,89,0.4,0.78,3.59,2.48,0
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641553200,65,2.45,100,0.15,1,3.45,1.11,0
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641639600,72,5.91,85,0.52,1,4.62,1.59,0
281826068,2022-01-02,48.111095000000006,7.363622702110888,Colmar,1641726000,87,7.82,98,1,1,4.09,1.02,11.02
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641207600,69,5.86,100,0.56,0.41,11.58,10.6,0.86
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641294000,71,8.62,100,1,0.47,13.77,13.06,14.48
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641380400,77,3.23,100,1,0.48,3.89,1,1.56
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641466800,72,1.64,88,0.38,0.78,3.38,2.1,0.17
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641553200,64,2.27,100,0.14,1,3.6,1.46,0
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641639600,70,5.57,83,0.49,1,4.64,1.73,0
282202896,2022-01-02,48.0377622,7.317521300603902,Eguisheim,1641726000,86,7.92,99,1,1,4.25,1.36,13.78
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641207600,82,5.71,100,0.28,0.56,10.69,9.96,0.14
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641294000,63,8.66,100,1,0.51,12.99,11.99,8.9
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641380400,87,4.72,100,1,0.56,2.67,-1.43,3.73
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641466800,75,4.03,30,0.44,0.87,3.31,-0.24,0
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641553200,68,2.42,100,0.42,1,3,0.61,0
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641639600,88,7.34,100,0.91,1,3.2,-0.02,0.11
122417,2022-01-02,47.2380222,6.0243622,Besancon,1641726000,93,10.45,100,1,1,3.49,-0.54,10.53
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641207600,80,6.12,100,0.26,0.66,10.53,9.73,0
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641294000,77,7.92,100,1,0.6,10.33,9.43,2.73
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641380400,68,6.81,100,1,0.37,2.78,-2.27,1.52
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641466800,77,4.72,36,0.11,0.89,3.59,-0.13,0
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641553200,63,3.12,99,0.55,1,4.03,1.25,0
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641639600,77,9.67,85,0.78,1,4.81,1.07,0.7
120864,2022-01-02,47.3215806,5.0414701,Dijon,1641726000,84,11.96,80,1,1,4.89,0.1,7.77
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641207600,70,1.88,92,0,0.93,10.43,9.36,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641294000,75,2.7,100,0.88,0.73,12.61,11.88,2.08
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641380400,99,3.08,100,1,0.33,4.46,3.34,13.53
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641466800,76,3.31,76,0.48,1.04,2.61,-0.2,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641553200,68,1.4,100,0.01,2,3.37,3.37,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641639600,81,2.15,86,0.22,2,3.07,3.07,0
121462,2022-01-02,45.8992348,6.1288847,Annecy,1641726000,100,2.46,100,1,2,2.38,2.38,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641207600,68,1.83,96,0,0.97,12.23,11.28,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641294000,66,2.7,93,0.47,1.04,15.16,14.45,0.34
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641380400,100,3.53,100,1,0.29,5.38,3.55,15.38
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641466800,86,2.48,47,0.54,1.05,2.5,0.37,0
123256,2022-01-02,45.1875602,5.7357819,Grenoble,1641553200,87,1.67,100,0,2,4.33,4.33,0
