location,date_updated,hotel_name,hotel_lat,hotel_lon,hotel_score,score_title,score_expe,url
Marseille,2022-01-02,Domitys La Badiane,43.31407659,5.36968701,8.9,Superbe ,38,https://www.booking.com/hotel/fr/domitys-la-badiane.fr.html
Marseille,2022-01-02,Le Couvent Marseille,43.29722248,5.36653509,9.1,Fabuleux  ,253,https://www.booking.com/hotel/fr/le-couvent-marseille.fr.html
Marseille,2022-01-02,Residhome Marseille,43.302737,5.365624,8.5,Très bien ,1,https://www.booking.com/hotel/fr/residhome-marseille.fr.html
Marseille,2022-01-02,New Hotel Le Quai - Vieux Port,43.29603122,5.37489071,8.4,Très bien ,1,https://www.booking.com/hotel/fr/vieuxport.fr.html
Marseille,2022-01-02,Aparthotel Adagio Marseille Vieux Port,43.30144218,5.3706944,7.4,Bien  ,1,https://www.booking.com/hotel/fr/adagio-city-aparthotel-marseille-republique.fr.html
Marseille,2022-01-02,Mercure Marseille Centre Vieux Port,43.29868005,5.37532523,8.0,Très bien ,1,https://www.booking.com/hotel/fr/mercure-marseille-centre-vieux-port.fr.html
Marseille,2022-01-02,Mercure Marseille Canebière Vieux-Port,43.296986,5.379321,8.2,Très bien ,905,https://www.booking.com/hotel/fr/mercure-marseille-canebiere-vieux-port.fr.html
Marseille,2022-01-02,Ac Hotel By Marriott Marseille Prado Vélodrome,43.269202,5.393839,8.3,Très bien ,1,https://www.booking.com/hotel/fr/ac-by-marriott-marseille.fr.html
Marseille,2022-01-02,Newhotel Of Marseille - Vieux Port,43.29204847,5.35977781,8.0,Très bien ,1,https://www.booking.com/hotel/fr/new-of-marseille-le-pharo.fr.html
Marseille,2022-01-02,Best Western Plus Hôtel La Joliette,43.30365629,5.36660336,8.2,Très bien ,1,https://www.booking.com/hotel/fr/best-western-la-joliette.fr.html
Marseille,2022-01-02,La Résidence Du Vieux Port,43.29653858,5.37270606,8.8,Superbe ,1,https://www.booking.com/hotel/fr/hotel-la-residence-du-vieux-port.fr.html
Marseille,2022-01-02,Mercure Marseille Centre Prado Vélodrome,43.26947577,5.38823336,8.3,Très bien ,960,https://www.booking.com/hotel/fr/mercure-marseille-prado.fr.html
Marseille,2022-01-02,Novotel Marseille Vieux Port,43.29232179,5.36023915,7.8,Bien  ,1,https://www.booking.com/hotel/fr/novotel-marseille-vieux-port.fr.html
Marseille,2022-01-02,Grand Hotel Beauvau Marseille Vieux Port - Mgallery,43.29507836,5.37501007,8.6,Superbe ,1,https://www.booking.com/hotel/fr/mercure-grand-beauvau.fr.html
Marseille,2022-01-02,Novotel Suites Marseille Centre Euromed,43.30796539,5.36746502,8.2,Très bien ,1,https://www.booking.com/hotel/fr/marseille-centre-euromed.fr.html
Marseille,2022-01-02,Golden Tulip Marseille Euromed,43.30972177,5.36703444,7.9,Bien  ,3,https://www.booking.com/hotel/fr/golden-tulip.fr.html
Marseille,2022-01-02,Nh Collection Marseille,43.3024211,5.3686337,8.6,Superbe ,4,https://www.booking.com/hotel/fr/nh-collection-marseille.fr.html
Marseille,2022-01-02,Golden Tulip Villa Massalia,43.25480976,5.3816539,7.5,Bien  ,1,https://www.booking.com/hotel/fr/goldentulipvillamassalia.fr.html
Marseille,2022-01-02,Radisson Blu Hotel Marseille Vieux Port,43.2925834,5.36702782,7.7,Bien  ,2,https://www.booking.com/hotel/fr/radisson-sas-marseille-vieux-port.fr.html
Marseille,2022-01-02,Maisons Du Monde Hôtel & Suites - Marseille Vieux Port,43.29412372,5.37463993,8.4,Très bien ,932,https://www.booking.com/hotel/fr/maisondumondehotelandsuitesmarseille.fr.html
Marseille,2022-01-02,Nhow Marseille,43.26873557,5.36907434,8.3,Très bien ,2,https://www.booking.com/hotel/fr/pullman-palm-beach-marseille.fr.html
Marseille,2022-01-02,Le Petit Nice - Passedat,43.28096532,5.35174727,8.2,Très bien ,191,https://www.booking.com/hotel/fr/le-petit-nice-marseille.fr.html
Marseille,2022-01-02,Hotel C2,43.2897397,5.3731927,8.9,Superbe ,560,https://www.booking.com/hotel/fr/c2-marseille.fr.html
Marseille,2022-01-02,Sofitel Marseille Vieux-Port,43.29242722,5.36084533,8.5,Très bien ,1,https://www.booking.com/hotel/fr/sofitel-marseille-vieux-port.fr.html
Marseille,2022-01-02,"Intercontinental Marseille - Hotel Dieu, An Ihg Hotel",43.29858167,5.36974624,8.5,Très bien ,1,https://www.booking.com/hotel/fr/marseille-dieu.fr.html
Collioure,2022-01-02,Chambres Rue De La République,42.5255637,3.08279672,7.6,Bien  ,409,https://www.booking.com/hotel/fr/chambres-rue-de-la-republique.fr.html
Saintes Maries de la mer,2022-01-02,Le Maset,43.45656073,4.42670293,8.9,Superbe ,251,https://www.booking.com/hotel/fr/mazet-de-la-grenouilla-re.fr.html
Collioure,2022-01-02,Hôtel La Bona Casa,42.52547153,3.0826987,8.4,Très bien ,797,https://www.booking.com/hotel/fr/la-bona-casa.fr.html
Collioure,2022-01-02,Hotel Le Bon Port,42.52411449,3.08936566,8.2,Très bien ,444,https://www.booking.com/hotel/fr/le-bon-port.fr.html
Collioure,2022-01-02,Hôtel Des Templiers,42.52666546,3.08394089,8.0,Très bien ,762,https://www.booking.com/hotel/fr/ha-tel-des-templiers.fr.html
Collioure,2022-01-02,Hôtel Triton,42.52371617,3.08713473,7.5,Bien  ,943,https://www.booking.com/hotel/fr/triton.fr.html
Collioure,2022-01-02,Residence Pierre & Vacances Les Balcons De Collioure,42.52510633,3.0904362,8.0,Très bien ,622,https://www.booking.com/hotel/fr/maevabalconsdecollioure.fr.html
Collioure,2022-01-02,Hotel Méditerranée,42.52708254,3.08026291,7.9,Bien  ,760,https://www.booking.com/hotel/fr/mediterranee-collioure.fr.html
Collioure,2022-01-02,Hôtel Princes De Catalogne,42.52591431,3.0826816,8.1,Très bien ,1,https://www.booking.com/hotel/fr/princes-de-catalogne.fr.html
Collioure,2022-01-02,Le Mas Des Citronniers,42.52538159,3.08256391,8.0,Très bien ,843,https://www.booking.com/hotel/fr/lesmasdescitronniers.fr.html
Collioure,2022-01-02,Le Madeloc Hôtel & Spa,42.52876467,3.07865426,8.8,Superbe ,709,https://www.booking.com/hotel/fr/madeloc.fr.html
Collioure,2022-01-02,La Frégate,42.52638625,3.08325659,8.1,Très bien ,1,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.fr.html
Collioure,2022-01-02,Le Relais Des Trois Mas,42.52417281,3.08931068,9.0,Fabuleux  ,206,https://www.booking.com/hotel/fr/le-relais-des-trois-mas.fr.html
Collioure,2022-01-02,Hôtel La Casa Pairal,42.52616733,3.08235571,8.7,Superbe ,681,https://www.booking.com/hotel/fr/hotelcasapairal.fr.html
Collioure,2022-01-02,Les Roches Brunes,42.52534777,3.09032446,9.0,Fabuleux  ,229,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.fr.html
Saintes Maries de la mer,2022-01-02,Hotel Mas Des Lys,43.47418844,4.41020608,8.7,Superbe ,328,https://www.booking.com/hotel/fr/mas-des-lys-les-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Hotel Camille,43.45039148,4.42991227,7.9,Bien  ,793,https://www.booking.com/hotel/fr/camille.fr.html
Saintes Maries de la mer,2022-01-02,Hotel Le Bleu Marine,43.45463818,4.433202,8.4,Très bien ,506,https://www.booking.com/hotel/fr/le-bleu-marine.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel Les Arcades,43.4526278,4.43076655,8.7,Superbe ,473,https://www.booking.com/hotel/fr/ha-tel-les-arcades.fr.html
Saintes Maries de la mer,2022-01-02,Hotel Les Palmiers En Camargue,43.45106618,4.42509368,8.1,Très bien ,1,https://www.booking.com/hotel/fr/les-palmiers-en-camargue.fr.html
Saintes Maries de la mer,2022-01-02,Le Castelet,43.45134949,4.42507625,7.4,Bien  ,1,https://www.booking.com/hotel/fr/le-castelet-les-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel La Palunette,43.46230329,4.42051917,8.5,Très bien ,276,https://www.booking.com/hotel/fr/la-palunette.fr.html
Saintes Maries de la mer,2022-01-02,Cacharel,43.49245835,4.44407601,8.2,Très bien ,99,https://www.booking.com/hotel/fr/cacharel.fr.html
Saintes Maries de la mer,2022-01-02,Les Rizières,43.47103999,4.41058695,8.2,Très bien ,512,https://www.booking.com/hotel/fr/les-rizieres.fr.html
Saintes Maries de la mer,2022-01-02,Hotel Mas Des Barres,43.5192832,4.39884961,8.3,Très bien ,283,https://www.booking.com/hotel/fr/le-petit-mas-des-barres.fr.html
Saintes Maries de la mer,2022-01-02,Clamador,43.46821258,4.3956323,8.1,Très bien ,870,https://www.booking.com/hotel/fr/clamador.fr.html
Saintes Maries de la mer,2022-01-02,L'Auberge Camarguaise,43.47184235,4.41156596,7.8,Bien  ,409,https://www.booking.com/hotel/fr/lauberge-camarguaise.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel Le Neptune En Camargue,43.452127,4.425347,7.8,Bien  ,284,https://www.booking.com/hotel/fr/le-neptune-en-camargue.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel Mas De La Grenouillère,43.47145266,4.40182686,8.2,Très bien ,227,https://www.booking.com/hotel/fr/ha-tel-mas-de-la-grenouilla-re.fr.html
Saintes Maries de la mer,2022-01-02,Le Dauphin Bleu,43.452330860000004,4.43364993,8.6,Superbe ,945,https://www.booking.com/hotel/fr/le-dauphin-bleu.fr.html
Saintes Maries de la mer,2022-01-02,La Tramontane,43.47260109,4.41012025,9.1,Fabuleux  ,1,https://www.booking.com/hotel/fr/la-tramontane.fr.html
Saintes Maries de la mer,2022-01-02,Hôtel Casa Marina,43.451133,4.430953,8.9,Superbe ,451,https://www.booking.com/hotel/fr/casa-marina-saintes-maries-de-la-mer.fr.html
Saintes Maries de la mer,2022-01-02,Thalacap Camargue,43.45349134,4.43545103,7.7,Bien  ,890,https://www.booking.com/hotel/fr/thalacap-camargue.fr.html
